Implementation,DatasetSize,BatchNumber,Timestamp,TotalMemoryMB,MemoryPerRecord,RecordsProcessed,GCCount,GCTimeMs,HeapUsageMB,InsertionTimeMs
SkipHash,1000000,67,1731732776648,809.35,1266.66,670000,8,892,3754.64,361
SkipHash,1000000,68,1731732776931,1037.35,1599.62,680000,8,892,3982.64,283
SkipHash,1000000,69,1731732777149,1263.35,1919.88,690000,8,892,4206.64,218
SkipHash,1000000,70,1731732777380,1491.35,2233.99,700000,8,892,4434.64,231
SkipHash,1000000,71,1731732777603,1719.35,2539.25,710000,8,892,4662.64,223
SkipHash,1000000,72,1731732777835,1947.35,2836.03,720000,8,892,4890.64,232
SkipHash,1000000,73,1731732778067,2175.35,3124.68,730000,8,892,5118.64,231
SkipHash,1000000,74,1731732778407,978.00,1385.82,740000,9,1004,3921.29,340
SkipHash,1000000,75,1731732778625,1204.00,1683.32,750000,9,1004,4149.29,217
SkipHash,1000000,76,1731732778869,1432.00,1975.74,760000,9,1004,4377.29,244
SkipHash,1000000,77,1731732779100,1660.00,2260.57,770000,9,1004,4605.29,231
SkipHash,1000000,78,1731732779326,1888.00,2538.09,780000,9,1004,4833.29,226
SkipHash,1000000,79,1731732779601,2128.00,2824.52,790000,9,1004,5073.29,274
SkipHash,1000000,80,1731732779956,988.00,1294.99,800000,10,1119,3933.29,354
SkipHash,1000000,81,1731732780201,1216.00,1574.16,810000,10,1119,4161.29,245
SkipHash,1000000,82,1731732780432,1442.00,1843.96,820000,10,1119,4385.29,231
SkipHash,1000000,83,1731732780659,1670.00,2109.79,830000,10,1119,4613.29,227
SkipHash,1000000,84,1731732780889,1898.00,2369.28,840000,10,1119,4841.29,230
SkipHash,1000000,85,1731732781123,2126.00,2622.67,850000,10,1119,5069.29,234
SkipHash,1000000,86,1731732781507,1064.00,1297.31,860000,11,1230,4007.29,383
SkipHash,1000000,87,1731732781755,1292.00,1557.20,870000,11,1230,4235.29,248
SkipHash,1000000,88,1731732782005,1520.00,1811.18,880000,11,1230,4463.29,249
SkipHash,1000000,89,1731732782254,1748.00,2059.45,890000,11,1230,4691.29,249
SkipHash,1000000,90,1731732782502,1974.00,2299.88,900000,11,1230,4919.29,247
SkipHash,1000000,91,1731732782734,2202.00,2537.33,910000,11,1230,5147.29,232
SkipHash,1000000,92,1731732783083,1204.00,1372.27,920000,12,1335,4149.29,348
SkipHash,1000000,93,1731732783308,1432.00,1614.58,930000,12,1335,4377.29,225
SkipHash,1000000,94,1731732783544,1660.00,1851.74,940000,12,1335,4605.29,236
SkipHash,1000000,95,1731732783790,1888.00,2083.91,950000,12,1335,4833.29,245
SkipHash,1000000,96,1731732784020,2116.00,2311.24,960000,12,1335,5061.29,230
SkipHash,1000000,97,1731732784375,1165.96,1260.41,970000,13,1452,4111.24,354
SkipHash,1000000,98,1731732784609,1393.96,1491.50,980000,13,1452,4339.24,234
SkipHash,1000000,99,1731732784852,1619.95,1715.80,990000,13,1452,4563.24,243
SkipHash,1000000,100,1731732785089,1847.95,1937.72,1000000,13,1452,4791.24,237
HashMap,1000000,1,1731732787560,80.00,8388.81,10000,0,0,3908.09,77
HashMap,1000000,2,1731732787643,160.00,8388.71,20000,0,0,3988.09,83
HashMap,1000000,3,1731732787725,240.00,8388.68,30000,0,0,4068.09,82
HashMap,1000000,4,1731732787813,320.00,8388.66,40000,0,0,4148.09,88
HashMap,1000000,5,1731732787907,402.00,8430.55,50000,0,0,4228.09,93
HashMap,1000000,6,1731732787967,482.00,8423.56,60000,0,0,4308.09,60
HashMap,1000000,7,1731732788018,562.00,8418.57,70000,0,0,4388.09,50
HashMap,1000000,8,1731732788071,642.00,8414.82,80000,0,0,4468.09,52
HashMap,1000000,9,1731732788123,722.00,8411.91,90000,0,0,4548.09,52
HashMap,1000000,10,1731732788188,804.00,8430.57,100000,0,0,4628.09,65
HashMap,1000000,11,1731732788242,886.00,8445.80,110000,0,0,4708.09,54
HashMap,1000000,12,1731732788296,966.00,8441.04,120000,0,0,4788.09,53
HashMap,1000000,13,1731732788348,1044.00,8420.89,130000,0,0,4868.09,52
HashMap,1000000,14,1731732788399,1124.00,8418.58,140000,0,0,4948.09,50
HashMap,1000000,15,1731732788454,1204.00,8416.58,150000,0,0,5028.09,55
HashMap,1000000,16,1731732788510,1284.00,8414.84,160000,0,0,5108.09,55
HashMap,1000000,17,1731732788567,1364.00,8413.29,170000,0,0,5188.09,57
HashMap,1000000,18,1731732788622,1444.00,8411.92,180000,0,0,5268.09,54
HashMap,1000000,19,1731732788676,1524.00,8410.69,190000,0,0,5348.09,52
HashMap,1000000,20,1731732788769,1620.00,8493.48,200000,0,0,5444.09,93
HashMap,1000000,21,1731732788820,1698.00,8478.49,210000,0,0,5520.09,51
HashMap,1000000,22,1731732788976,298.00,1420.34,220000,1,100,4124.09,155
HashMap,1000000,23,1731732789029,378.00,1723.31,230000,1,100,4204.09,53
HashMap,1000000,24,1731732789079,458.00,2001.03,240000,1,100,4284.09,50
HashMap,1000000,25,1731732789132,540.00,2264.93,250000,1,100,4368.09,52
HashMap,1000000,26,1731732789183,620.00,2500.46,260000,1,100,4448.09,50
HashMap,1000000,27,1731732789235,698.00,2710.76,270000,1,100,4524.09,51
HashMap,1000000,28,1731732789284,778.00,2913.54,280000,1,100,4604.09,49
HashMap,1000000,29,1731732789335,858.00,3102.34,290000,1,100,4684.09,50
HashMap,1000000,30,1731732789387,936.00,3271.56,300000,1,100,4764.09,51
HashMap,1000000,31,1731732789451,1016.00,3436.63,310000,1,100,4844.09,64
HashMap,1000000,32,1731732789514,1096.00,3591.38,320000,1,100,4924.09,63
HashMap,1000000,33,1731732789568,1176.00,3736.75,330000,1,100,5004.09,54
HashMap,1000000,34,1731732789632,1256.00,3873.57,340000,1,100,5084.09,63
HashMap,1000000,35,1731732789688,1334.00,3996.57,350000,1,100,5160.09,55
HashMap,1000000,36,1731732789742,1414.00,4118.57,360000,1,100,5240.09,53
HashMap,1000000,37,1731732789796,1498.00,4245.32,370000,1,100,5324.09,52
HashMap,1000000,38,1731732789851,1580.00,4359.87,380000,1,100,5408.09,55
HashMap,1000000,39,1731732790039,518.91,1395.18,390000,2,229,4345.00,188
HashMap,1000000,40,1731732790119,622.91,1632.93,400000,2,229,4449.00,80
HashMap,1000000,41,1731732790178,710.91,1818.16,410000,2,229,4537.00,59
HashMap,1000000,42,1731732790230,788.91,1969.61,420000,2,229,4617.00,52
HashMap,1000000,43,1731732790281,868.91,2118.89,430000,2,229,4697.00,50
HashMap,1000000,44,1731732790332,948.91,2261.38,440000,2,229,4777.00,51
HashMap,1000000,45,1731732790386,1028.91,2397.54,450000,2,229,4857.00,54
HashMap,1000000,46,1731732790439,1106.91,2523.22,460000,2,229,4933.00,52
HashMap,1000000,47,1731732790491,1186.91,2648.02,470000,2,229,5013.00,51
HashMap,1000000,48,1731732790542,1266.91,2767.61,480000,2,229,5093.00,51
HashMap,1000000,49,1731732790595,1346.91,2882.33,490000,2,229,5173.00,52
HashMap,1000000,50,1731732790653,1426.91,2992.45,500000,2,229,5253.00,58
HashMap,1000000,51,1731732790711,1506.91,3098.26,510000,2,229,5333.00,57
HashMap,1000000,52,1731732790766,1584.91,3195.97,520000,2,229,5413.00,55
HashMap,1000000,53,1731732790962,724.00,1432.40,530000,3,372,4552.09,196
HashMap,1000000,54,1731732791015,804.00,1561.22,540000,3,372,4632.09,53
HashMap,1000000,55,1731732791070,888.00,1692.98,550000,3,372,4716.09,54
HashMap,1000000,56,1731732791123,968.00,1812.54,560000,3,372,4796.09,53
HashMap,1000000,57,1731732791175,1048.00,1927.91,570000,3,372,4876.09,52
HashMap,1000000,58,1731732791229,1128.00,2039.30,580000,3,372,4956.09,53
HashMap,1000000,59,1731732791283,1208.00,2146.92,590000,3,372,5036.09,52
HashMap,1000000,60,1731732791335,1286.00,2247.45,600000,3,372,5112.09,51
HashMap,1000000,61,1731732791388,1366.00,2348.12,610000,3,372,5192.09,53
HashMap,1000000,62,1731732791444,1446.00,2445.55,620000,3,372,5272.09,56
HashMap,1000000,63,1731732791500,1524.00,2536.56,630000,3,372,5352.09,55
HashMap,1000000,64,1731732791558,1604.00,2628.00,640000,3,372,5432.09,58
HashMap,1000000,65,1731732791746,900.00,1451.88,650000,4,501,4728.09,188
HashMap,1000000,66,1731732791805,978.00,1553.80,660000,4,501,4804.09,58
HashMap,1000000,67,1731732791862,1058.00,1655.81,670000,4,501,4884.09,57
HashMap,1000000,68,1731732791920,1138.00,1754.82,680000,4,501,4964.09,57
HashMap,1000000,69,1731732791978,1216.00,1847.93,690000,4,501,5044.09,57
HashMap,1000000,70,1731732792036,1296.00,1941.37,700000,4,501,5124.09,58
HashMap,1000000,71,1731732792091,1376.00,2032.17,710000,4,501,5204.09,55
HashMap,1000000,72,1731732792145,1456.00,2120.46,720000,4,501,5284.09,54
HashMap,1000000,73,1731732792199,1536.00,2206.32,730000,4,501,5364.09,54
HashMap,1000000,74,1731732792254,1616.00,2289.87,740000,4,501,5444.09,55
HashMap,1000000,75,1731732792430,1022.00,1428.86,750000,5,604,4850.09,175
HashMap,1000000,76,1731732792514,1102.00,1520.44,760000,5,604,4930.09,84
HashMap,1000000,77,1731732792599,1180.00,1606.91,770000,5,604,5006.09,84
HashMap,1000000,78,1731732792686,1260.00,1693.85,780000,5,604,5086.09,87
HashMap,1000000,79,1731732792863,1376.00,1826.38,790000,5,604,5202.09,176
HashMap,1000000,80,1731732792945,1456.00,1908.41,800000,5,604,5282.09,82
HashMap,1000000,81,1731732793029,1534.00,1985.82,810000,5,604,5362.09,83
HashMap,1000000,82,1731732793095,1622.00,2074.14,820000,5,604,5450.09,65
HashMap,1000000,83,1731732793153,1702.00,2150.21,830000,5,604,5530.09,58
HashMap,1000000,84,1731732793237,1794.00,2239.46,840000,5,604,5622.09,84
HashMap,1000000,85,1731732793290,1876.00,2314.27,850000,5,604,5702.09,52
HashMap,1000000,86,1731732793343,1956.00,2384.90,860000,5,604,5782.09,53
HashMap,1000000,87,1731732793398,2036.00,2453.91,870000,5,604,5862.09,55
HashMap,1000000,88,1731732793561,1222.00,1456.09,880000,6,711,5050.09,163
HashMap,1000000,89,1731732793618,1302.00,1533.99,890000,6,711,5130.09,57
HashMap,1000000,90,1731732793673,1382.00,1610.15,900000,6,711,5210.09,54
HashMap,1000000,91,1731732793725,1460.00,1682.33,910000,6,711,5286.09,51
HashMap,1000000,92,1731732793777,1540.00,1755.23,920000,6,711,5366.09,52
HashMap,1000000,93,1731732793833,1618.00,1824.30,930000,6,711,5446.09,56
HashMap,1000000,94,1731732793892,1698.00,1894.13,940000,6,711,5526.09,58
HashMap,1000000,95,1731732793945,1778.00,1962.49,950000,6,711,5606.09,52
HashMap,1000000,96,1731732793997,1856.00,2027.25,960000,6,711,5682.09,52
HashMap,1000000,97,1731732794049,1936.00,2092.83,970000,6,711,5762.09,52
HashMap,1000000,98,1731732794105,2016.00,2157.07,980000,6,711,5842.09,55
HashMap,1000000,99,1731732794173,2094.00,2217.90,990000,6,711,5922.09,68
HashMap,1000000,100,1731732794333,1430.00,1499.47,1000000,7,817,5258.09,159
