Timestamp,EngineType,QueryCount,QueryType,AverageExecutionTime,TotalExecutionTime,HeapMemoryUsed,HeapMemoryDelta,NonHeapMemoryUsed,SuccessRate
2024-11-05T16:38:11.2737908,BPlusTreeEngine,60000,UPDATE,0.01,47.47,118846784,25165824,7792280,100.00
2024-11-05T16:38:11.2737908,BPlusTreeEngine,60000,DELETE,0.01,42.03,118846784,12582912,7792280,100.00
2024-11-05T16:38:11.2737908,BPlusTreeEngine,60000,RANGE_SELECT,0.10,717.01,118846784,-196743840,7792280,100.00
2024-11-05T16:38:11.2737908,BPlusTreeEngine,60000,EQUALS_SELECT,0.03,225.11,118846784,-96386840,7792280,100.00
2024-11-05T16:38:11.2737908,BPlusTreeEngine,60000,RANGE_UPDATE,0.20,1502.61,118846784,257015104,7792280,100.00
2024-11-05T16:38:11.2737908,BPlusTreeEngine,60000,EQUALS_UPDATE,0.08,581.53,118846784,-75265072,7792280,100.00
2024-11-05T16:38:12.3136325,BPlusTreeEngine,70000,INSERT,0.01,84.35,111209528,29360128,7835648,100.00
2024-11-05T16:38:12.3136325,BPlusTreeEngine,70000,SIMPLE_SELECT,0.13,1083.99,111209528,295241384,7835648,100.00
2024-11-05T16:38:12.3136325,BPlusTreeEngine,70000,UPDATE,0.01,54.36,111209528,25165824,7835648,100.00
2024-11-05T16:38:12.3136325,BPlusTreeEngine,70000,DELETE,0.01,47.55,111209528,12582912,7835648,100.00
2024-11-05T16:38:12.3136325,BPlusTreeEngine,70000,RANGE_SELECT,0.10,887.20,111209528,-318224064,7835648,100.00
2024-11-05T16:38:12.3136325,BPlusTreeEngine,70000,EQUALS_SELECT,0.03,279.37,111209528,-16695064,7835648,100.00
2024-11-05T16:38:12.3136325,BPlusTreeEngine,70000,RANGE_UPDATE,0.22,1896.21,111209528,68744992,7835648,100.00
2024-11-05T16:38:12.3136325,BPlusTreeEngine,70000,EQUALS_UPDATE,0.09,745.44,111209528,8621008,7835648,100.00
2024-11-05T16:38:13.5882178,BPlusTreeEngine,80000,INSERT,0.01,93.65,69865216,29360128,7859712,100.00
2024-11-05T16:38:13.5882178,BPlusTreeEngine,80000,SIMPLE_SELECT,0.14,1338.94,69865216,441961216,7859712,100.00
2024-11-05T16:38:13.5882178,BPlusTreeEngine,80000,UPDATE,0.01,61.42,69865216,25165824,7859712,100.00
2024-11-05T16:38:13.5882178,BPlusTreeEngine,80000,DELETE,0.01,53.15,69865216,16777216,7859712,100.00
2024-11-05T16:38:13.5882178,BPlusTreeEngine,80000,RANGE_SELECT,0.11,1094.44,69865216,-134088216,7859712,100.00
2024-11-05T16:38:13.5882178,BPlusTreeEngine,80000,EQUALS_SELECT,0.03,342.25,69865216,-100806160,7859712,100.00
2024-11-05T16:38:13.5882178,BPlusTreeEngine,80000,RANGE_UPDATE,0.24,2418.00,69865216,-336784416,7859712,100.00
2024-11-05T16:38:13.5882178,BPlusTreeEngine,80000,EQUALS_UPDATE,0.10,950.20,69865216,121867216,7859712,100.00
2024-11-05T16:38:14.9328381,BPlusTreeEngine,90000,INSERT,0.01,103.65,154616112,37748736,7860608,100.00
